"name","description","activities","state"
"Yosemite National Park","Renowned for its granite cliffs, waterfalls, and giant sequoias.","1. Hiking on scenic trails like Mist Trail and Mariposa Grove. 2. Rock climbing at El Capitan and Half Dome. 3. Wildlife watching for bears, deer, and other animals. 4. Stargazing at Glacier Point. 5. Photographing iconic landmarks like Tunnel View and Yosemite Falls.","CA"
"Golden Gate Bridge","San Francisco's iconic suspension bridge.","1. Walking or biking across the bridge. 2. Visiting the Golden Gate Bridge Welcome Center. 3. Capturing photos from various viewpoints like Battery Spencer and Crissy Field. 4. Exploring the nearby Golden Gate Park. 5. Taking a boat tour underneath the bridge.","CA"
"Disneyland","The world-famous theme park located in Anaheim.","1. Riding classic attractions like Pirates of the Caribbean and Space Mountain. 2. Watching live shows and parades, such as Fantasmic! and the Main Street Electrical Parade. 3. Meeting Disney characters for photo opportunities. 4. Exploring themed lands like Star Wars: Galaxy's Edge and New Orleans Square. 5. Enjoying delicious food and snacks, like Dole Whips and churros.","CA"
"Universal Studios Hollywood","A popular film studio and theme park in Los Angeles.","1. Experiencing thrilling rides like Jurassic World: The Ride and Revenge of the Mummy. 2. Taking the Studio Tour to see behind-the-scenes of movie productions. 3. Watching live shows, such as WaterWorld and Special Effects Show. 4. Exploring themed areas like The Wizarding World of Harry Potter and Springfield. 5. Dining at unique restaurants like Krusty Burger and Three Broomsticks.","CA"
"Death Valley National Park","Known for its unique desert landscapes, salt flats, and sand dunes.","1. Hiking trails like Golden Canyon and Mesquite Flat Sand Dunes. 2. Admiring the colorful badlands at Zabriskie Point. 3. Exploring unique sites like Racetrack Playa and Ubehebe Crater. 4. Photographing the salt flats at Badwater Basin. 5. Stargazing in one of the darkest skies in the United States.","CA"
"Pacific Coast Highway","A scenic drive along the California coast, offering breathtaking ocean views.","1. Drive along the coastline, 2. Stop at vista points for photo opportunities, 3. Explore beach towns, 4. Hike nearby coastal trails, 5. Visit state parks and beaches","CA"
"Muir Woods National Monument","A tranquil forest reserve with towering redwood trees.","1. Hike through the redwood forest, 2. Attend a ranger-led program, 3. Photograph the giant trees, 4. Birdwatching, 5. Visit the visitor center and bookstore","CA"
"Catalina Island","A popular island getaway with outdoor activities and charming towns.","1. Snorkel or scuba dive, 2. Explore Avalon or Two Harbors, 3. Go hiking or biking, 4. Take a glass-bottom boat tour, 5. Enjoy shopping and dining","CA"
"Pfeiffer Beach","A picturesque beach in Big Sur known for its purple sand and unique rock formations.","1. Walk along the purple sand beach, 2. Photograph the rock formations, 3. Explore tide pools, 4. Enjoy a picnic, 5. Watch the sunset","CA"
"Lake Tahoe","A picturesque freshwater lake, Lake Tahoe is ideal for water sports and outdoor activities, nestled in the Sierra Nevada Mountains.","1. Enjoy water sports like kayaking, paddleboarding, and jet skiing. 2. Swim, sunbathe, or relax on the beaches, such as Sand Harbor or Pope Beach. 3. Hike or mountain bike through the surrounding trails, such as the Rubicon Trail and Flume Trail. 4. Ski or snowboard at nearby ski resorts like Heavenly or Squaw Valley. 5. Try your luck at the casinos on the Nevada side of the lake.","CA"
